event_id,event_type,event_created_at,object_id,center_id,current_bee_suite_state,expected_mutation_after_approved_replay,idempotency_evidence,risk,recommendation
evt_1TyxgkGk8ncxY2N9aNQFs6b1,checkout.session.expired,2026-07-30T17:24:10Z,cs_live_c1uLaLXVcTNA93ZXywNA9QSsrAEpkju1gwIxHmxLhAPUohuLVrE5SmFrvV,cmp4ew6f3000a6alwmz62n7w2,no_receipt_center_exists_software_customer_configured_no_payment_method_no_payment_or_invoice_metadata,create_ignored_receipt_only_no_payment_ledger_fulfillment_or_center_change,event_id_and_dedupe_key_unique_expected_absent,low_but_production_write,replay_one_at_a_time_only_after_separate_replay_approval
evt_1TyxkYGk8ncxY2N94bTJeRwA,checkout.session.expired,2026-07-30T17:28:06Z,cs_live_c1Bck7XKrX867YV1dxNAPRkZdtUherQDkbqQbwIxctFyVa7eGhW64wgdC9,cmp4ew6f3000a6alwmz62n7w2,no_receipt_center_exists_software_customer_configured_no_payment_method_no_payment_or_invoice_metadata,create_ignored_receipt_only_no_payment_ledger_fulfillment_or_center_change,event_id_and_dedupe_key_unique_expected_absent,low_but_production_write,replay_one_at_a_time_only_after_separate_replay_approval
evt_1Tyxo2Gk8ncxY2N9OmJr92V0,checkout.session.expired,2026-07-30T17:31:42Z,cs_live_c1l2DlkByvqqr5zTRDdIVvQZw0IE9d3iAngEEiHlyHfe8VgJk0oUuSpthI,cmp4ew6f3000a6alwmz62n7w2,no_receipt_center_exists_software_customer_configured_no_payment_method_no_payment_or_invoice_metadata,create_ignored_receipt_only_no_payment_ledger_fulfillment_or_center_change,event_id_and_dedupe_key_unique_expected_absent,low_but_production_write,replay_one_at_a_time_only_after_separate_replay_approval
evt_1TyyScGk8ncxY2N9X0oakssK,checkout.session.expired,2026-07-30T18:13:38Z,cs_live_c1jqn3Q8kATNuKPNwQccKyjRkRvkTIIR4f32DEMAmu3kFtnUBTcqBRh5XM,cmp4ew6f3000a6alwmz62n7w2,no_receipt_center_exists_software_customer_configured_no_payment_method_no_payment_or_invoice_metadata,create_ignored_receipt_only_no_payment_ledger_fulfillment_or_center_change,event_id_and_dedupe_key_unique_expected_absent,low_but_production_write,replay_one_at_a_time_only_after_separate_replay_approval
evt_1TyyV3Gk8ncxY2N9LXJCKrKH,checkout.session.expired,2026-07-30T18:16:09Z,cs_live_c1BOQlA2zggegYSVIcpLuOZ6v2SHbaP1KhwgeslvUpfd5I4ZXqKFIbP4AW,cmp4ew8u4001c6alwq674ue16,no_receipt_center_exists_software_customer_configured_no_payment_method_no_payment_or_invoice_metadata,create_ignored_receipt_only_no_payment_ledger_fulfillment_or_center_change,event_id_and_dedupe_key_unique_expected_absent,low_but_production_write,replay_one_at_a_time_only_after_separate_replay_approval
evt_1TyyXbGk8ncxY2N99Gv6ZTDd,checkout.session.expired,2026-07-30T18:18:47Z,cs_live_c1fK7DjJm1hy20VHqLTDMWW6RdwQGq0wCEbJ3AiiDvYG3UG5KZYL1Dbx5p,cmp4ew8u4001c6alwq674ue16,no_receipt_center_exists_software_customer_configured_no_payment_method_no_payment_or_invoice_metadata,create_ignored_receipt_only_no_payment_ledger_fulfillment_or_center_change,event_id_and_dedupe_key_unique_expected_absent,low_but_production_write,replay_one_at_a_time_only_after_separate_replay_approval
evt_1Tyyn9Gk8ncxY2N9QO4E1LWU,checkout.session.expired,2026-07-30T18:34:51Z,cs_live_c1FGNgDnseI7mkMHTfzm90aftLcdeiwjCUOg6uxGDUA3pFjDOLXOhdh2N8,cmp4ew8u4001c6alwq674ue16,no_receipt_center_exists_software_customer_configured_no_payment_method_no_payment_or_invoice_metadata,create_ignored_receipt_only_no_payment_ledger_fulfillment_or_center_change,event_id_and_dedupe_key_unique_expected_absent,low_but_production_write,replay_one_at_a_time_only_after_separate_replay_approval
evt_1TyypwGk8ncxY2N9huoeQOaU,checkout.session.expired,2026-07-30T18:37:44Z,cs_live_c12S4vkct3pyj7Pu4jxLhfwhxPOrWjguEiqRx5CHIq907IGqGSGsBQxy4m,cmp4ew8yo001e6alw32jneo3w,no_receipt_center_exists_software_customer_configured_no_payment_method_no_payment_or_invoice_metadata,create_ignored_receipt_only_no_payment_ledger_fulfillment_or_center_change,event_id_and_dedupe_key_unique_expected_absent,low_but_production_write,replay_one_at_a_time_only_after_separate_replay_approval
evt_1TyyteGk8ncxY2N9BEKSvrMn,checkout.session.expired,2026-07-30T18:41:34Z,cs_live_c13mW346hWfmJk63uEVGxihNKIml16dRpkd6guQroizCgMW9Ejucze1hOg,cmp4ew8yo001e6alw32jneo3w,no_receipt_center_exists_software_customer_configured_no_payment_method_no_payment_or_invoice_metadata,create_ignored_receipt_only_no_payment_ledger_fulfillment_or_center_change,event_id_and_dedupe_key_unique_expected_absent,low_but_production_write,replay_one_at_a_time_only_after_separate_replay_approval
evt_1Tyzi9Gk8ncxY2N9ybPAFEoQ,checkout.session.expired,2026-07-30T19:33:45Z,cs_live_c1EPpzUdM3wZWcRJrZtEGk64JWBlE7KsuHOilBT9mLlUoMgaGxI8d2DiIc,cmp4ew8yo001e6alw32jneo3w,no_receipt_center_exists_software_customer_configured_no_payment_method_no_payment_or_invoice_metadata,create_ignored_receipt_only_no_payment_ledger_fulfillment_or_center_change,event_id_and_dedupe_key_unique_expected_absent,low_but_production_write,replay_one_at_a_time_only_after_separate_replay_approval
evt_1TyznSGk8ncxY2N98qlmvAcE,checkout.session.expired,2026-07-30T19:39:14Z,cs_live_c1BDh89mAUzUVF8Baqav3beDwinqnKgoqF1PJuy2ZjKYsrJeBV5byzWtjJ,cmp4ew8yo001e6alw32jneo3w,no_receipt_center_exists_software_customer_configured_no_payment_method_no_payment_or_invoice_metadata,create_ignored_receipt_only_no_payment_ledger_fulfillment_or_center_change,event_id_and_dedupe_key_unique_expected_absent,low_but_production_write,replay_one_at_a_time_only_after_separate_replay_approval
evt_1TyznrGk8ncxY2N9w0ONiaqL,checkout.session.expired,2026-07-30T19:39:39Z,cs_live_c1j365gcWDhuLgsXjdbgJPTqBRrkAh2sXbKK6FoKKVooqj85MDP8cnqOGD,cmp4ew9h2001m6alwxssr4wr6,no_receipt_center_exists_software_customer_configured_no_payment_method_no_payment_or_invoice_metadata,create_ignored_receipt_only_no_payment_ledger_fulfillment_or_center_change,event_id_and_dedupe_key_unique_expected_absent,low_but_production_write,replay_one_at_a_time_only_after_separate_replay_approval
evt_1Tz0FTGk8ncxY2N9Q5JZTFSM,checkout.session.expired,2026-07-30T20:08:11Z,cs_live_c19e2Xup9w3txgqiHyF5iEXK1KQbRxC0AI936AkZZJYoBxteDSg9BrPykn,cmp4ewg4a004i6alwl5c6i3w4,no_receipt_center_exists_software_customer_configured_no_payment_method_no_payment_or_invoice_metadata,create_ignored_receipt_only_no_payment_ledger_fulfillment_or_center_change,event_id_and_dedupe_key_unique_expected_absent,low_but_production_write,replay_one_at_a_time_only_after_separate_replay_approval
evt_1Tz0LsGk8ncxY2N9r8pRV5sa,checkout.session.expired,2026-07-30T20:14:48Z,cs_live_c1TONQhg1qWVVjVEoPxObHBFPPDgfGCFDqcsQthKQAmejp714atASEtBAD,cmp4ewg4a004i6alwl5c6i3w4,no_receipt_center_exists_software_customer_configured_no_payment_method_no_payment_or_invoice_metadata,create_ignored_receipt_only_no_payment_ledger_fulfillment_or_center_change,event_id_and_dedupe_key_unique_expected_absent,low_but_production_write,replay_one_at_a_time_only_after_separate_replay_approval
